# LOTR Conquest Custom Audio Event List
# Generated: 2026-01-22 15:17:10
# Total Events: 2782
#
# To customize an event, create an audio file in:
#   ConquestDir/ConquestMods/audio/{EventName}.wav (or .mp3, .ogg, .flac)
#
# Format: EventID | Bank | EventName
# ==============================================

0x002B4C8B | VO_Isengard | VO_Isengard-0090
0x0044DDC9 | Level_Moria | wood_door_explosion
0x004A9718 | VoiceOver | play_vo_ctf_goodcappedring_v1_alt
0x0051D130 | VO_Pelennor | play_vo_plf_obj05_remind_oliphants_v1
0x0051D132 | VO_Pelennor | play_vo_plf_obj05_remind_oliphants_v3
0x0051D133 | VO_Pelennor | play_vo_plf_obj05_remind_oliphants_v2
0x0060E5AA | Effects | shockwave
0x00767DC4 | VO_Osgiliath | play_vo_osg_good_obj09_defeat_v1
0x009B10BA | Level_Moria | mines_moria_amb_a01
0x00CCDAC7 | VO_Moria | play_vo_mor_obj12_secondsac_update2_alt
0x00E72D78 | VoiceOver | VoiceOver-0406
0x010E6704 | Effects | play_grab
0x014832C1 | UI | ui_previous
0x01613FD9 | VO_Moria | play_vo_mor_obj011_remind_caves_v1
0x01613FDA | VO_Moria | play_vo_mor_obj011_remind_caves_v2
0x01613FDB | VO_Moria | play_vo_mor_obj011_remind_caves_v3
0x017C1838 | ChatterUruk | ChatterUruk-0514
0x017C183A | ChatterUruk | ChatterUruk-0518
0x017C183B | ChatterUruk | ChatterUruk-0516
0x01876A94 | ChatterGondor | ChatterGondor-0537
0x01876A96 | ChatterGondor | ChatterGondor-0541
0x01876A97 | ChatterGondor | ChatterGondor-0539
0x0192650D | VoiceOver | VoiceOver-0327
0x01D0FF35 | ChatterGondor | ChatterGondor-0531
0x01D0FF36 | ChatterGondor | ChatterGondor-0533
0x01D0FF37 | ChatterGondor | ChatterGondor-0535
0x01D919BB | VO_Osgiliath | play_vo_osg_good_obj09_support_escort_v1
0x01E39CD8 | ChatterHobbit | ChatterHobbit-0646
0x01E39CD9 | ChatterHobbit | ChatterHobbit-0648
0x01E39CDB | ChatterHobbit | ChatterHobbit-0644
